# Param 32 = 0.13385 
 60    0.3881602    
 61    0.4027176    
 62    0.4027176    
 63    0.4117732    
 64    0.4117732    
 65    0.4118794    
 66    0.4125040    
 67    0.4125040    
 68    0.4174869    
 69    0.4174869    
 70    0.4188670    
 71    0.4353599    
###                          ###

# Param 32 = 0.66923 
  1    0.0724549    
  2    0.0724549    
  3    0.1110537    
  4    0.1274286    
  5    0.1274286    
  6    0.1352180    
  7    0.1352180    
  8    0.1474836    
  9    0.1474836    
 10    0.1799416    
 11    0.1799416    
 12    0.1812561    
 13    0.1954051    
 14    0.1954051    
 15    0.1968821    
 16    0.1968821    
 17    0.2264665    
 18    0.2264665    
 19    0.2404843    
 20    0.2404843    
 21    0.2423448    
 22    0.2538501    
 23    0.2538501    
 24    0.2569337    
 25    0.2569337    
 26    0.2666776    
 27    0.2677204    
 28    0.2677204    
 29    0.2790654    
 30    0.2850571    
 31    0.2850571    
 32    0.2944084    
 33    0.2944084    
 34    0.2968797    
 35    0.2968797    
 36    0.3014566    
 37    0.3014566    
 38    0.3079828    
 39    0.3079828    
 40    0.3153277    
 41    0.3153277    
 42    0.3286489    
 43    0.3286489    
 44    0.3351372    
 45    0.3351372    
 46    0.3444953    
 47    0.3444953    
 48    0.3489862    
 49    0.3489862    
 50    0.3503674    
 51    0.3503674    
 52    0.3516315    
 53    0.3522535    
 54    0.3522535    
 55    0.3545286    
 56    0.3595015    
 57    0.3595015    
 58    0.3670366    
 59    0.3670366    
 60    0.3682935    
 61    0.3682935    
 62    0.3696058    
 63    0.3707217    
 64    0.3707217    
 65    0.3711354    
 66    0.3711354    
 67    0.3723771    
 68    0.3736660    
 69    0.3736660    
 70    0.3803543    
 71    0.3803543    
###                          ###

# Param 32 = 0.80307 
  1    0.0799082    
  2    0.0799082    
  3    0.1208807    
  4    0.1274224    
  5    0.1274224    
  6    0.1446718    
  7    0.1446718    
  8    0.1471438    
  9    0.1471438    
 10    0.1774785    
 11    0.1774785    
 12    0.1787377    
 13    0.1952914    
 14    0.1952914    
 15    0.2019540    
 16    0.2067284    
 17    0.2067284    
 18    0.2233663    
 19    0.2233663    
 20    0.2311586    
 21    0.2311586    
 22    0.2407503    
 23    0.2407503    
 24    0.2532850    
 25    0.2532850    
 26    0.2594637    
 27    0.2594637    
 28    0.2624678    
 29    0.2663801    
 30    0.2663801    
 31    0.2773179    
 32    0.2773179    
 33    0.2790654    
 34    0.2796383    
 35    0.2796383    
 36    0.2815350    
 37    0.2815350    
 38    0.2929780    
 39    0.3004930    
 40    0.3004930    
 41    0.3005547    
 42    0.3005547    
 43    0.3057562    
 44    0.3057562    
 45    0.3062873    
 46    0.3062873    
 47    0.3110412    
 48    0.3110412    
 49    0.3201279    
 50    0.3201279    
 51    0.3239694    
 52    0.3239694    
 53    0.3295359    
 54    0.3295359    
 55    0.3303796    
 56    0.3303796    
 57    0.3359198    
 58    0.3380834    
 59    0.3380834    
 60    0.3414398    
 61    0.3444748    
 62    0.3463035    
 63    0.3463035    
 64    0.3560404    
 65    0.3560404    
 66    0.3600344    
 67    0.3600344    
 68    0.3605553    
 69    0.3605553    
 70    0.3719576    
 71    0.3719576    
###                          ###

# Param 32 = 0.93692 
  1    0.0859148    
  2    0.0859148    
  3    0.1274143    
  4    0.1274143    
  5    0.1286332    
  6    0.1466442    
  7    0.1466442    
