# Deviation of elastic constant 1
2.754859 0.013626 -5/10000
2.755135 0.013606 -4/10000
2.755410 0.013587 -3/10000
2.755686 0.013569 -2/10000
2.755961 0.013554 -1/10000
2.756237 0.013540  0/10000
2.756513 0.013527  1/10000
2.756788 0.013516  2/10000
2.757064 0.013507  3/10000
2.757339 0.013499  4/10000
2.757615 0.013493  5/10000

# Deviation of elastic constant 2
0.823007 0.014356 -5/10000
0.823090 0.014115 -4/10000
0.823172 0.013913 -3/10000
0.823254 0.013749 -2/10000
0.823337 0.013625 -1/10000
0.823419 0.013540  0/10000
0.823501 0.013493  1/10000
0.823584 0.013486  2/10000
0.823666 0.013517  3/10000
0.823748 0.013587  4/10000
0.823831 0.013696  5/10000
