#Parameter|Line   1|Line   2|Line   3|Line   4|Line   5|Line   6|Line   7|Line   8|Line   9|Line  10|Line  11|Line  12|Line  13|Line  14|Line  15|Line  16|Line  17|Line  18|Line  19|Line  20|Line  21|Line  22|Line  23|Line  24|Line  25|Line  26|Line  27|Line  28|Line  29|Line  30|Line  31|Line  32|Line  33|Line  34|Line  35|Line  36|Line  37|Line  38|Line  39|Line  40|Line  41|Line  42|Line  43|Line  44|Line  45|Line  46|Line  47|Line  48|Line  49|Line  50|Line  51|Line  52|Line  53|Line  54|Line  55|Line  56|Line  57|Line  58|Line  59|Line  60|Line  61|Line  62|Line  63|Line  64|Line  65|Line  66|Line  67|Line  68|Line  69|Line  70|Line  71|
  1.47230  0.10101  0.10101  0.11016  0.12734  0.12734  0.13268  0.13268  0.13725  0.13725  0.14742  0.14997  0.15891  0.15891  0.16433  0.16433  0.16769  0.16769  0.18101  0.18101  0.18299  0.18883  0.18883  0.19059  0.19059  0.20064  0.20064  0.20907  0.20907  0.21745  0.22031  0.22772  0.22772  0.23003  0.23371  0.23371  0.23898  0.23898  0.24078  0.24078  0.24143  0.24143  0.24414  0.24414  0.25698  0.25698  0.25842  0.25842  0.26306  0.26306  0.27907  0.28152  0.28152  0.28404  0.28404  0.28801  0.28835  0.28835  0.28900  0.28900  0.28914  0.28914  0.29115  0.29115  0.29325  0.29325  0.29470  0.29470  0.29483  0.30002  0.30386  0.30386 
  1.60615  0.10098  0.10340  0.10340  0.12683  0.12683  0.12730  0.12730  0.12909  0.12909  0.14233  0.14928  0.14928  0.15024  0.15708  0.15708  0.16988  0.16988  0.17544  0.17574  0.17574  0.18350  0.18350  0.18715  0.18715  0.19846  0.19846  0.20056  0.20056  0.20195  0.20899  0.22241  0.22932  0.22932  0.23080  0.23080  0.23540  0.23540  0.23602  0.23602  0.23644  0.23644  0.23655  0.23655  0.24800  0.24800  0.24969  0.24969  0.25773  0.25773  0.27121  0.27121  0.27548  0.27557  0.27557  0.27667  0.27667  0.27907  0.28108  0.28108  0.28511  0.28511  0.28538  0.28538  0.28546  0.28570  0.28570  0.28573  0.28573  0.28788  0.28788  0.29677 
  1.73999  0.09321  0.10543  0.10543  0.11935  0.11935  0.12186  0.12186  0.12723  0.12723  0.13486  0.14173  0.14173  0.15255  0.15365  0.15365  0.16981  0.17141  0.17141  0.17165  0.17165  0.17864  0.17864  0.18401  0.18401  0.18642  0.19277  0.19277  0.19759  0.19759  0.20092  0.21699  0.22688  0.22688  0.22756  0.22756  0.22860  0.22860  0.23027  0.23027  0.23050  0.23050  0.23491  0.23491  0.23550  0.23550  0.24454  0.24454  0.25732  0.25732  0.26267  0.26267  0.26305  0.26305  0.26463  0.26463  0.26488  0.27117  0.27117  0.27529  0.27587  0.27587  0.27745  0.27745  0.27907  0.27963  0.28074  0.28074  0.28585  0.28585  0.28712  0.28712 
  1.87384  0.08655  0.10718  0.10718  0.10981  0.10981  0.11758  0.11758  0.12709  0.12709  0.12771  0.13590  0.13590  0.15178  0.15178  0.15444  0.16570  0.16774  0.16774  0.17307  0.17307  0.17310  0.17409  0.17409  0.18159  0.18159  0.18562  0.18562  0.19338  0.19717  0.19717  0.21294  0.21674  0.21674  0.22071  0.22071  0.22187  0.22187  0.22502  0.22502  0.22538  0.22538  0.23134  0.23134  0.23383  0.23383  0.24135  0.24135  0.25049  0.25049  0.25610  0.25613  0.25613  0.25615  0.25615  0.25706  0.25706  0.25966  0.26340  0.26340  0.26468  0.26983  0.26983  0.27054  0.27054  0.27630  0.27630  0.27907  0.28047  0.28047  0.28636  0.28636 
  2.00768  0.08078  0.10109  0.10109  0.10868  0.10868  0.11385  0.11385  0.12096  0.12674  0.12674  0.13156  0.13156  0.15046  0.15046  0.15596  0.16156  0.16276  0.16453  0.16453  0.16972  0.16972  0.17421  0.17421  0.17910  0.17910  0.17982  0.17982  0.18645  0.19694  0.19694  0.20511  0.20511  0.20969  0.21321  0.21321  0.21616  0.21616  0.21627  0.21627  0.22080  0.22080  0.23192  0.23192  0.23315  0.23315  0.23942  0.23942  0.24066  0.24066  0.24234  0.24876  0.24960  0.24960  0.24973  0.24973  0.25429  0.25687  0.25687  0.25741  0.25741  0.26274  0.26274  0.26654  0.26654  0.26994  0.26994  0.27251  0.27251  0.27907  0.28403  0.28564 
  2.14153  0.07573  0.09326  0.09326  0.10998  0.10998  0.11052  0.11052  0.11468  0.12563  0.12563  0.12900  0.12900  0.14929  0.14929  0.15147  0.15713  0.16072  0.16157  0.16157  0.16548  0.16548  0.17325  0.17325  0.17510  0.17510  0.17856  0.17856  0.18017  0.19394  0.19394  0.19678  0.19678  0.20650  0.20650  0.20685  0.20858  0.20858  0.21052  0.21052  0.21663  0.21663  0.22720  0.23231  0.23231  0.23238  0.23238  0.23274  0.23274  0.23813  0.23813  0.24248  0.24316  0.24316  0.24433  0.24433  0.24467  0.25279  0.25279  0.25610  0.25610  0.25674  0.25674  0.26029  0.26029  0.26257  0.26257  0.26935  0.26935  0.27073  0.27530  0.27530 
  2.27538  0.07128  0.08628  0.08628  0.10750  0.10750  0.10888  0.11111  0.11111  0.12361  0.12361  0.12815  0.12815  0.14256  0.14799  0.14799  0.15796  0.15863  0.15863  0.15932  0.16137  0.16137  0.16813  0.16813  0.17451  0.17578  0.17578  0.17769  0.17769  0.18393  0.18393  0.19668  0.19668  0.20073  0.20073  0.20202  0.20202  0.20410  0.20484  0.20484  0.21296  0.21296  0.21383  0.22508  0.22508  0.23251  0.23251  0.23255  0.23255  0.23605  0.23605  0.23616  0.23697  0.23710  0.23710  0.23977  0.23977  0.24916  0.24916  0.24985  0.24985  0.25154  0.25154  0.25663  0.25663  0.25739  0.25739  0.25894  0.26607  0.26607  0.26679  0.26679 
  2.40922  0.06732  0.08004  0.08004  0.10354  0.10471  0.10471  0.11209  0.11209  0.12162  0.12162  0.12789  0.12789  0.13464  0.14638  0.14638  0.15542  0.15542  0.15741  0.15741  0.15840  0.15840  0.16385  0.16385  0.16950  0.17547  0.17547  0.17630  0.17630  0.17709  0.17709  0.19590  0.19590  0.19629  0.19629  0.19660  0.19660  0.19930  0.19930  0.20121  0.20195  0.20979  0.20979  0.21845  0.21845  0.22833  0.22833  0.22897  0.23197  0.23240  0.23240  0.23268  0.23268  0.23552  0.23552  0.23590  0.23590  0.24395  0.24395  0.24402  0.24402  0.24625  0.24625  0.24865  0.25015  0.25015  0.25655  0.25655  0.25955  0.25955  0.26472  0.26472 
  2.54307  0.06377  0.07445  0.07445  0.09862  0.10206  0.10206  0.11293  0.11293  0.11998  0.11998  0.12755  0.12778  0.12778  0.14428  0.14428  0.15159  0.15159  0.15366  0.15366  0.15782  0.15824  0.16051  0.16051  0.16530  0.16887  0.16887  0.17667  0.17667  0.17670  0.17670  0.19120  0.19120  0.19132  0.19189  0.19189  0.19393  0.19393  0.19655  0.19655  0.19797  0.20713  0.20713  0.21234  0.21234  0.22022  0.22022  0.22319  0.22732  0.23135  0.23135  0.23236  0.23236  0.23275  0.23275  0.23317  0.23317  0.23862  0.23862  0.23881  0.23881  0.23973  0.24207  0.24207  0.24385  0.24385  0.25417  0.25417  0.25510  0.25649  0.25649  0.26085 
  2.67691  0.06059  0.06942  0.06942  0.09411  0.09951  0.09951  0.11366  0.11366  0.11868  0.11868  0.12117  0.12772  0.12772  0.14163  0.14163  0.14701  0.14701  0.15016  0.15016  0.15674  0.15748  0.15808  0.15808  0.16255  0.16416  0.16416  0.17645  0.17645  0.17692  0.17692  0.18176  0.18659  0.18659  0.18855  0.18855  0.18875  0.18875  0.19434  0.19650  0.19650  0.20491  0.20491  0.20666  0.20666  0.21211  0.21211  0.21876  0.22292  0.22710  0.22710  0.22802  0.22802  0.23204  0.23238  0.23238  0.23277  0.23277  0.23366  0.23366  0.23421  0.23421  0.23693  0.23693  0.24181  0.24181  0.24235  0.24872  0.24872  0.25338  0.25338  0.25644 
